# This file is UTF-8 encoded. Avoid using of BOM!
# WORD	TF	IDF	ATTR
後輪	11.67	12.67	n
間有	13.30	8.95	v
關押	12.57	10.77	u
靺	0.81	0.00	@
暖色調	11.78	12.95	n
學會	13.77	12.19	n
觎	0.84	0.00	@
金來	11.48	13.03	n
補課	12.47	10.99	v
整合型	13.19	9.88	A
一般人	13.43	9.28	n
町隆史	10.91	14.45	n
醏	0.70	0.00	@
駎	0.69	0.00	@
亞當斯	12.09	12.34	n
林浤裕	12.00	12.52	n
網上	13.53	8.32	n
誤殺	12.14	11.72	u
透進	12.99	9.75	v
分身乏術	11.52	13.68	a
四週	13.26	14.46	n
壞死性	12.56	11.36	n
三商銀	13.27	15.50	n
槍擊案	12.32	11.88	n
說書人	11.82	12.87	n
哈莎諾	12.04	12.44	n
柚農	11.45	13.07	n
火燄	11.75	12.51	n
鐺鐺	11.51	12.97	d
暴發戶	11.84	12.83	n
何凱琳	11.96	12.61	n
台北縣	13.04	16.40	n
琈	0.73	0.00	@
艾利歐馬利	12.71	11.58	n
雪霸	12.56	10.79	n
籉	0.70	0.00	@
引經據典	12.24	12.35	v
鐘	1.22	0.00	n
鱙	0.69	0.00	@
標準局	13.37	15.08	n
凱司	12.50	10.92	n
搈	0.71	0.00	@
昆泰跨國	10.98	14.56	n
倫敦人	13.19	9.89	n
暗號	12.82	10.15	n
萘	0.97	0.00	@
豙	0.68	0.00	@
帝凱	12.29	11.38	n
劉若英	11.70	13.10	n
喬伊	11.43	13.12	n
兒童局	13.24	15.61	n
王德明	12.00	12.51	n
尬車	12.73	10.38	n
熱映	12.77	10.29	a
證人	12.61	10.66	n
李知英	12.07	12.39	n
宏國	12.94	9.86	n
考據	11.72	12.57	u
虹橋	12.71	10.43	n
侹	0.72	0.00	@
租書店	11.60	13.28	n
資源網	13.51	9.07	n
蝪	0.80	0.00	@
襲台	12.65	10.58	u
彼德漢塞爾	11.97	13.07	n
徹	1.14	0.00	u
日片	13.21	9.18	n
坺	0.69	0.00	@
尾身	10.81	14.19	n
拼出	12.93	9.89	u
澹	0.96	0.00	@
靪	0.70	0.00	@
杺	0.87	0.00	@
創業	13.88	7.29	v
阿群	13.04	15.40	n
魯文學	11.83	12.85	n
心路歷程	12.16	12.51	n
梁家輝	11.38	13.68	n
睺	0.82	0.00	@
帶路	12.35	11.25	v
汗臭味	11.57	13.33	n
擔任	13.53	8.32	v
明確	13.88	7.31	a
胡說	13.15	9.34	v
創團	12.92	9.93	n
岐阜縣	11.09	14.16	n
課稅	12.40	11.16	v
飾板	12.66	10.54	n
查蘭	10.58	14.55	n
十七世紀	13.17	10.30	n
家樂福	12.09	12.35	n
為買	13.22	9.14	u
結髮	13.02	9.66	v
香燭	11.63	12.74	n
娜姐	11.98	12.06	n
夎	0.80	0.00	@
等級	14.05	6.79	n
宮澤	11.72	12.57	n
兏	0.71	0.00	@
動彈	12.59	10.72	v
鐈	0.69	0.00	@
鱉	1.03	0.00	n
特教班	12.88	10.64	n
安萬特	11.03	14.25	n
沒臉	11.96	12.09	d
湊足	11.78	12.45	u
簡明忠	12.03	12.46	n
視察	13.08	9.51	v
豉	0.96	0.00	@
雅寶	13.02	15.49	n
線路	13.70	7.84	n
萈	0.69	0.00	@
呆住	12.78	10.27	a
煏	0.71	0.00	@
礎	0.97	0.00	@
一點六	13.39	9.39	n
藥片	12.10	11.80	n
天頂	10.97	13.94	n
惕勵	10.70	14.37	u
慏	0.72	0.00	@
共和黨人	12.13	12.56	n
練習練習	13.46	9.59	u
年增率	11.41	13.61	n
搶購	13.07	9.55	u
華興	11.54	12.91	n
超壞	12.91	9.94	u
高勾麗	12.04	12.45	n
侩	0.92	0.00	g
吳幸樺	12.03	12.47	n
復	1.22	0.00	d
桑德斯	11.25	13.89	n
氙	0.93	0.00	@
左臉	11.18	13.56	n
杪	0.87	0.00	@
瑘	0.69	0.00	@
簙	0.74	0.00	@
澩	0.83	0.00	@
監委	10.89	14.06	n
農田	12.93	9.91	n
鑽井	12.61	10.68	v
睪	0.89	0.00	u
義	1.22	0.00	n
宮本	12.31	11.35	n
師生盃	11.84	12.83	n
權益法	11.50	13.45	n
吳培培	12.06	12.40	n
威里斯	12.50	11.48	n
斷成	13.08	9.52	v
飾物	12.63	10.62	n
回廠	13.02	15.48	n
尙	0.85	0.00	@
布魯塞爾	12.70	11.38	n
表單	13.26	9.05	n
餎	0.70	0.00	@
籹	0.99	0.00	@
恰恰好	12.76	10.91	a
拜託拜託	12.73	11.32	u
圖解	13.18	9.27	u
汹	0.88	0.00	@
腏	0.71	0.00	@
褎	1.14	0.00	@
雞翅	11.84	12.34	n
疏壓	11.69	12.63	n
種出	13.32	8.88	u
岳敏君	10.85	14.54	n
扁平化	12.10	12.33	v
其來有自	13.65	9.08	a
配電盤	11.44	13.57	n
靦腆	11.63	12.74	a
吳欣盈	10.68	14.80	n
咺	0.72	0.00	@
清靈	12.92	9.91	n
迷迭	12.40	11.15	a
遊玩	13.00	9.72	v
鞋櫃	12.25	11.47	n
溪橋	12.73	10.37	n
磷含量	12.82	10.77	n
心懸	12.52	10.88	n
消費國	13.32	15.29	n
北坑	12.32	11.32	n
小巧玲瓏	12.57	11.66	a
運動迷	13.07	10.18	n
舞群	12.88	10.01	n
起源地	12.71	11.03	n
長途	13.32	8.89	A
賞鷹	10.79	14.22	n
拔去	12.71	10.43	u
蓮花燈	11.87	12.77	n
量價	13.14	9.35	n
陳某	11.37	13.23	n
莫里森	11.23	13.92	n
好孕臨門	11.33	14.01	n
新寶來	13.40	9.35	u
那麼樣	11.27	13.86	d
氉	0.70	0.00	@
簉	0.76	0.00	@
鐵片	12.97	9.81	n
開開	13.42	8.61	u
茶鄉	12.70	10.47	n
葘	0.69	0.00	@
機器娃	11.82	12.88	n
琳達	12.74	10.36	n
瑈	0.73	0.00	@
檢測	13.79	7.57	v
六十三億	11.79	13.19	n
啃蝕	10.99	13.90	u
鰙	0.74	0.00	@
疏遠	12.48	10.96	v
鑘	0.68	0.00	@
張鈞綸	12.03	12.46	n
愛滋病	12.63	11.20	n
布拉謝	12.89	10.61	u
所稅	13.03	9.65	n
謝劍平	11.91	12.69	n
購車	13.20	9.20	n
陳麗晴	12.06	12.41	n
肉類	12.11	11.79	n
屁話	11.79	12.43	n
人吃	13.23	9.12	u
靜美	11.70	12.60	a
飛天	12.94	9.86	n
魚骨	11.32	13.33	n
么叔	11.55	12.90	n
動作	13.82	7.48	n
蓋出	10.88	14.09	u
范欣妤	12.07	12.38	n
包給	11.48	13.03	v
有識者	11.79	12.93	n
一點七	13.34	9.50	n
璪	0.74	0.00	@
籩	0.88	0.00	@
甩尾	11.78	12.45	u
乾妹	12.58	10.75	n
擋出	12.86	10.06	u
線下	13.29	8.96	n
鱹	0.69	0.00	@
汩	0.85	0.00	@
念珠菌	11.71	13.08	n
撪	0.81	0.00	@
中學生	13.60	8.83	n
屩	0.72	0.00	@
蒺	0.80	0.00	@
小隼	11.63	12.75	n
同型機	11.44	13.57	n
教頭	12.18	11.63	n
郭小祐	12.03	12.47	n
國中小	11.68	13.12	n
子棋	12.29	11.39	n
義大利式	12.31	12.21	A
西邊	12.61	10.66	n
黑環	12.87	10.05	n
紋章	11.65	12.71	n
小徑	12.70	10.47	n
哈密德	11.95	12.62	n
行徑	12.57	10.77	n
阿米塔吉	12.75	11.27	n
檢控	11.44	13.09	u
奪銀	12.43	11.07	n
一九七一年	11.50	13.89	n
貪得無厭	12.22	12.38	a
霰彈	11.36	13.24	n
宣揚	13.25	9.06	u
互毆	11.43	13.13	v
使不上	13.53	9.02	u
木麻黃	12.25	12.01	n
紐西蘭人	12.90	10.93	n
葈	0.69	0.00	@
谉	0.73	0.00	@
狗團	12.86	10.07	n
百分之六十一	11.93	13.28	m
多才多藝	12.62	11.55	a
徐子珊	11.33	13.76	n
儏	0.84	0.00	@
塗藥	11.00	13.88	n
摩狄納	11.63	13.22	n
鑈	0.69	0.00	@
鰉	0.84	0.00	@
楎	0.70	0.00	@
北亞	13.05	15.33	n
焏	0.71	0.00	@
百分之七點九	13.42	10.12	m
祎	0.93	0.00	@
伯倫	11.26	13.43	n
水世界健康	13.57	15.30	n
舊雨新知	11.76	13.26	n
雪菲爾	12.47	11.55	n
炸醬麵	12.04	12.44	n
擁入	12.51	10.89	u
木桌	12.44	11.06	n
篠原涼子	11.98	12.85	n
行運	13.11	9.44	n
霧峰	12.19	11.61	n
提議	13.06	9.58	v
爾曼	13.05	15.37	n
轉隊	13.03	9.65	n
鑽開	12.83	10.15	u
湄洪順府	10.98	14.57	n
擁吻	11.63	12.74	v
咘	0.86	0.00	@
喬裝	12.04	11.92	u
伊晴	11.51	12.96	n
五日	13.32	8.88	n
林占梅	12.02	12.48	n
钪	0.89	0.00	@
馬來西亞	13.71	14.30	n
鱩	0.69	0.00	@
何嘉仁	10.90	14.46	n
何許	12.04	11.93	r
ㄏ	0.98	0.00	#
蒪	0.71	0.00	@
豩	0.69	0.00	@
逢年	12.94	9.88	u
觀景台	12.72	10.99	n
地點	13.82	7.48	n
璘	0.86	0.00	@
撘	0.90	0.00	u
錢怡	11.36	13.25	n
泙	0.90	0.00	@
上櫃	12.92	9.92	v
樹德	13.06	9.57	a
砂石案	11.72	13.06	n
無性	13.28	9.00	d
趨吉避凶	11.77	13.23	a
早苗	11.73	12.55	n
店鋪	13.59	8.15	n
襎	0.69	0.00	@
集點	13.13	9.40	n
擺	1.21	0.00	u
氹	0.87	0.00	@
游氏	10.23	15.09	n
拜登	12.32	11.32	n
簽賭案	11.58	13.31	n
談談	12.90	9.98	v
鄏	0.73	0.00	@
饎	0.71	0.00	@
西線	13.12	9.41	n
瓺	0.68	0.00	@
簹	0.76	0.00	@
並重	12.84	10.11	a
哈尼比	11.72	13.05	n
思黎	12.46	11.01	n
機庫	13.12	15.08	n
壁紙	13.59	8.13	n
半導體廠	12.58	11.64	n
音樂季	13.02	10.30	n
消費類	13.36	9.45	n
專營	12.85	10.10	u
兩百八十三	11.33	14.17	n
會員制	13.27	9.68	n
柯林伊斯威特	12.24	12.70	n
栽進	12.25	11.48	v
北港鎮	11.56	13.36	n
催淚	11.82	12.36	v
徵集	13.50	8.39	u
趙偉	11.24	13.46	n
陳成良	11.83	12.85	n
來此	13.35	8.81	v
大談	13.25	9.06	v
製表	10.99	13.89	n
钘	0.75	0.00	@
瑛士	11.72	12.57	n
苦練	12.66	10.54	u
蒘	0.71	0.00	@
賙	1.25	0.00	@
特等獎	11.93	12.66	n
三萬六千	11.42	13.86	n
咈	0.73	0.00	@
峉	0.71	0.00	@
如膠似漆	12.32	12.17	a
野戰	12.47	10.99	A
據以	13.18	9.25	d
大響	13.09	9.50	a
優等獎	11.60	13.28	n
璈	0.78	0.00	@
靈芝	12.58	10.74	n
飽和	12.97	9.80	a
糉	0.71	0.00	@
一錯再錯	13.55	9.35	a
愛死	11.63	12.74	a
撈	1.13	0.00	u
北爛	12.19	11.61	n
愛押	11.71	12.58	u
施壓	11.81	12.38	v
劉秋鳳	12.06	12.41	n
紓困	11.23	13.49	u
三十多萬	13.39	9.75	n
火炬手	12.29	11.95	n
躺平	11.82	12.38	v
銅鑼燒	11.68	13.13	n
裝運	12.20	11.59	u
擪	0.69	0.00	@
氩	0.99	0.00	@
傳過來	13.12	10.05	v
林邁可	10.62	14.88	n
簩	0.77	0.00	@
蓺	0.73	0.00	@
谹	0.70	0.00	@
瓪	0.71	0.00	@
對象	13.88	7.29	n
朱雲鵬	11.90	12.73	n
鰹	0.81	0.00	@
痛下	13.12	9.42	u
慣常	11.95	12.10	v
尩	0.75	0.00	@
短觀	12.87	10.04	n
學完	13.10	9.47	u
梅克	11.26	13.43	n
腐女軍團	11.41	13.88	n
機構	14.17	6.39	n
起因於	12.12	12.29	v
能者	11.54	12.92	n
原花青素	12.27	12.28	n
赤西	12.63	10.63	n
鳉	0.77	0.00	@
理事長盃	12.14	12.53	n
瞪視	11.68	12.65	u
伯羅	11.03	13.82	n
工程會	13.44	9.24	n
屁幫	11.84	12.34	n
蒈	0.74	0.00	@
訂立	12.72	10.40	u
賉	0.71	0.00	@
自走砲	12.46	11.57	n
互享	12.80	10.23	v
儷閣	11.24	13.46	n
ハ	1.05	0.00	#
張張	11.78	12.45	m
三科	13.21	14.69	n
指揮	13.47	8.48	u
畫面	13.71	7.79	n
江慧娟	12.01	12.51	n
伊爾庫	11.25	13.89	n
同梯	11.83	12.35	n
柯有綸	11.59	13.30	n
狂轟	11.82	12.37	a
公司戶	11.26	13.88	n
口頭	12.94	9.87	d
繁體	13.91	7.21	n
烏	1.15	0.00	n
三鳥	13.11	9.43	n
期滿	13.05	9.59	a
一九九五年	12.08	12.86	n
梎	0.69	0.00	@
蒂諾斯	12.81	10.80	n
幹麻學	11.88	12.75	n
惏	0.74	0.00	@
情資	12.78	10.26	n
煙民	12.75	10.34	n
墎	0.72	0.00	@
蓪	0.73	0.00	@
頤指氣使	11.95	12.91	a
黃金期	11.77	12.96	n
谩	1.00	0.00	@
雅礱	11.21	13.52	n
少東	13.11	9.43	n
意氣用事	12.09	12.64	v
哘	0.83	0.00	@
透過	13.29	8.96	p
铪	0.86	0.00	@
鰩	0.86	0.00	@
擘	0.93	0.00	u
協調人	13.32	9.56	n
粙	0.73	0.00	@
進出口	13.37	9.44	u
瓘	0.83	0.00	@
多多多多	13.43	9.66	d
懷豪斯	12.07	12.39	n
筆記型	13.02	10.31	A
郏	0.90	0.00	@
颎	0.76	0.00	@
通信展	12.27	11.97	n
摔壞	11.84	12.33	u
病變	12.95	9.85	n
南加州	12.53	11.42	n
嚮往	13.20	9.20	v
一照	13.25	9.06	n
伊蘭	11.96	12.09	n
林嫦瑜	12.07	12.38	n
胏	0.71	0.00	@
袎	0.70	0.00	@
香蕉皮	12.02	12.49	n
稍後	13.04	9.61	d
最愛	13.58	8.16	n
峹	0.70	0.00	@
涼意	12.32	11.32	n
愛哭鬼	11.56	13.35	n
吺	0.70	0.00	@
山東	14.03	10.94	n
三洞	11.32	13.33	n
孟山都	11.07	14.20	n
管不	11.58	12.83	n
頭角	12.08	11.84	n
糹	0.86	0.00	@
螺旋狀	12.18	12.17	n
趙強	11.11	13.69	n
琺	0.91	0.00	@
笑翻	12.89	10.00	u
奧地利	13.39	14.99	n
實驗店	12.92	10.55	n
心愛	13.08	9.53	A
上野樹里	11.89	13.02	n
林哲瑄	11.99	12.55	n
泹	0.74	0.00	@
排頭	11.54	12.91	n
藥理	12.59	10.70	n
大啖	11.71	12.59	u
布克獎	12.87	10.67	n
排約	12.98	9.76	n
章君宇	11.95	12.61	n
試劑	12.95	9.84	n
造紙	12.90	9.97	v
貙	0.74	0.00	@
美背	13.00	9.73	n
蓘	0.70	0.00	@
溫泉	13.39	8.69	n
工坊	12.75	10.34	n
護航	12.72	10.40	v
铘	0.77	0.00	@
鲙	0.76	0.00	@
小心點	13.25	9.74	n
吳宜樺	12.05	12.43	n
國會	13.02	15.45	n
預藏	12.66	10.55	n
岉	0.71	0.00	@
假藥	12.87	10.04	n
擈	0.69	0.00	@
聯想起	12.51	11.47	v
播映權	11.50	13.45	n
天龍	12.03	11.95	n
瓈	0.71	0.00	@
茱蒂	11.46	13.06	n
嫩嫩	12.93	9.89	a
奪門	12.72	10.42	d
芊雨	11.13	13.65	n
李存勖	12.01	12.50	n
不下於	12.05	12.43	v
痛批	12.75	10.34	n
鐺	0.99	0.00	u
預言	13.00	9.72	v
鳹	0.70	0.00	@
必須	14.16	6.44	d
氣焰	12.26	11.45	n
南遙	12.18	11.63	n
系數	13.07	9.55	n
賹	0.70	0.00	@
鈕釦	11.57	12.86	n
颯風	11.64	12.72	n
萺	0.72	0.00	@
蘇格蘭裙	11.67	13.42	n
向來	12.98	9.78	d
峩	1.00	0.00	@
畢冊	10.52	14.65	n
吪	0.76	0.00	@
偽造	12.90	9.97	u
螺絲釘	12.16	12.20	n
黃貞貞	11.72	13.06	n
衝破	12.72	10.40	u
內彎	12.68	10.51	n
湯盤	10.64	14.46	n
葛屁	10.51	14.67	n
糩	0.69	0.00	@
六時	13.25	9.07	n
強硬派	11.43	13.58	n
泩	0.85	0.00	@
游錫昆	11.96	12.60	n
洛城	12.91	9.94	n
追尋	12.87	10.04	u
無窮盡	11.75	13.00	a
曉月	13.09	15.20	n
無影無蹤	12.40	12.02	a
闇藍髮	12.62	11.22	n
順位	12.71	10.43	n
馬案	10.82	14.17	n
蓈	0.75	0.00	@
奧普	13.05	15.33	n
佐助	12.03	11.95	n
紓發	11.55	12.89	n
鲉	0.75	0.00	@
質詢	12.28	11.41	v
山泉水	11.47	13.52	n
東華	12.01	11.99	n
安詳	12.52	10.87	a
廚王	12.48	10.96	n
李承燁	11.71	13.07	n
わ	1.08	0.00	#
輪不到	13.39	9.38	v
就是了	13.61	8.79	a
側身	12.39	11.17	v
六審	12.70	10.44	u
畫法	13.02	9.66	n
試卷	13.25	9.06	n
亦雪	12.78	10.27	n
曹格　	11.85	12.81	n
種植	13.40	8.66	u
羅技	12.29	11.39	n
默默地	12.90	10.58	d
欣芹	11.46	13.07	n
神諭	11.72	12.58	n
棎	0.71	0.00	@
十六億	11.41	13.61	n
悏	0.71	0.00	@
保育法	12.02	12.49	n
上了年紀	13.11	10.44	a
觀光團	12.51	11.46	n
鐪	0.82	0.00	@
雞爸	12.34	11.27	n
鳩	1.01	0.00	n
運出	13.15	9.32	u
引腳	12.72	10.40	n
炏	0.73	0.00	@
磎	0.70	0.00	@
代領	12.72	10.41	u
萪	0.70	0.00	@
齊聚	12.49	10.95	v
賩	0.68	0.00	@
聖地牙哥	11.91	12.98	n
新發	13.40	13.85	n
泰勞	12.22	11.55	n
王添祿	12.07	12.39	n
鹿谷鄉	11.38	13.67	n
傏	0.72	0.00	@
壎	0.93	0.00	@
細縫	12.37	11.22	n
謝英明	12.01	12.50	n
郭勇志	11.82	12.87	n
諾麗果	11.92	12.68	n
牡羊	11.81	12.40	n
管訓	10.33	14.94	u
囫圇	11.49	13.00	a
富邦金	11.06	14.20	n
愛滋病毒	11.78	13.22	n
哈波	11.02	13.85	n
嚼食	11.75	12.52	u
設台	13.13	15.03	n
陳俊良	11.00	14.30	n
遺骸	11.78	12.44	n
肏	0.82	0.00	@
裎	0.87	0.00	@
絙	0.73	0.00	@
吉勃遜	10.87	14.51	n
曹操	12.84	10.11	n
夠格	11.55	12.90	a
一見鍾情	13.17	10.29	a
邏	0.96	0.00	@
攘	0.94	0.00	v
流浪犬	11.88	12.76	n
一鼓作氣	12.39	12.04	v
搶險	12.68	10.51	n
柳明桓	11.87	12.77	n
攜有	12.97	9.79	v
日曆紙	12.20	12.13	n
唘	0.70	0.00	@
嵙	0.76	0.00	@
乾性	11.82	12.38	A
岹	0.70	0.00	@
轎子	11.93	12.14	n
鼓動	12.54	10.84	v
迎賓卡	11.16	14.04	n
焚化爐	11.52	13.42	n
結構	14.03	6.85	n
完賽	12.84	10.11	n
尤克勒斯	12.17	12.48	n
二億九千萬	12.25	12.52	n
呺	0.80	0.00	@
插頭	12.65	10.57	n
摺	0.97	0.00	u
圓弧	12.26	11.45	n
瑺	0.74	0.00	@
粹	1.02	0.00	n
美樂蒂	12.53	11.44	n
悲憤	12.39	11.16	a
葉俊榮	11.73	13.04	n
駛出	12.47	11.00	v
鵙	0.72	0.00	@
義竹	12.54	10.83	n
個案	12.88	10.01	n
枝枒	10.87	14.09	n
赙	0.80	0.00	@
錄影帶	12.35	11.82	n
蔘	0.89	0.00	@
激將法	12.67	11.12	n
燒熱	12.88	10.02	u
多用途車	12.81	11.14	n
布里斯班	12.04	12.74	n
成衣廠	10.72	14.74	n
分解成	12.77	10.90	v
勃恩斯	11.90	12.72	n
玉樹臨風	11.73	13.30	a
自傷	13.08	9.52	a
自學	13.25	9.08	v
記住	13.28	9.00	v
發掘	13.04	9.61	u
孕育出	12.66	11.15	u
四面佛	11.78	12.94	n
寫起來	13.40	9.35	d
林宜融	11.35	13.72	n
適才	11.99	12.02	d
